PID,Data0,Data1,Seq
0x0C,0C,80,0
0x0D,00,00,0
0x11,34,00,0
0x0F,47,00,0
0x04,31,00,0
0x10,04,8F,0
0x42,37,3C,0
0x05,6F,00,0
0x23,0F,E0,0
0x1F,00,2C,0
0x0C,0C,80,1
0x0D,00,00,1
0x11,34,00,1
0x0F,47,00,1
0x04,31,00,1
0x0C,0C,79,2
0x0D,00,00,2
0x0C,0C,80,3
0x0D,00,00,3
0x11,34,00,2
0x0F,47,00,2
0x04,30,00,2
0x10,04,93,1
0x42,35,DD,1
0x0C,0C,86,4
0x0D,00,00,4
0x11,34,00,3
0x0F,47,00,3
0x04,31,00,3
0x0C,0C,86,5
0x0D,00,00,5
0x0C,0C,7C,6
0x0D,00,00,6
0x11,34,00,4
0x0F,47,00,4
0x04,32,00,4
0x10,04,93,2
0x42,37,15,2
0x05,6F,00,1
0x23,0F,A3,1
0x0C,0C,83,7
0x0D,00,00,7
0x11,34,00,5
0x0F,47,00,5
0x04,31,00,5
0x0C,0C,80,8
0x0D,00,00,8
0x0C,0C,83,9
0x0D,00,00,9
0x11,34,00,6
0x0F,47,00,6
0x04,32,00,6
0x10,04,A9,3
0x42,37,50,3
0x0C,0C,80,10
0x0D,00,00,10
0x11,34,00,7
0x0F,47,00,7
0x04,31,00,7
0x0C,0C,7C,11
0x0D,00,00,11
0x0C,0C,80,12
0x0D,00,00,12
0x11,34,00,8
0x0F,47,00,8
0x04,31,00,8
0x10,04,9B,4
0x42,36,52,4
0x05,6F,00,2
0x23,0F,C2,2
0x1F,00,30,1
0x0C,0C,79,13
0x0D,00,00,13
0x11,34,00,9
0x0F,47,00,9
0x04,43,00,9
0x0C,0C,8F,14
0x0D,00,00,14
0x0C,0C,8C,15
0x0D,00,00,15
0x11,34,00,10
0x0F,47,00,10
0x04,3F,00,10
0x10,04,88,5
0x42,37,02,5
0x0C,0C,76,16
0x0D,00,00,16
0x11,34,00,11
0x0F,47,00,11
0x04,41,00,11
0x0C,0C,73,17
0x0D,00,00,17
0x0C,0C,73,18
0x0D,00,00,18
0x11,34,00,12
0x0F,47,00,12
0x04,3F,00,12
0x10,04,A3,6
0x42,37,50,6
0x05,6F,00,3
0x23,10,79,3
0x0C,0C,80,19
0x0D,00,00,19
0x11,36,00,13
0x0F,47,00,13
0x04,40,00,13
0x0C,0C,76,20
0x0D,00,00,20
0x0C,0C,83,21
0x0D,00,00,21
0x11,36,00,14
0x0F,47,00,14
0x04,41,00,14
0x10,04,E0,7
0x42,35,F0,7
0x0C,0C,83,22
0x0D,00,00,22
0x11,36,00,15
0x0F,47,00,15
0x04,41,00,15
0x0C,0C,86,23
0x0D,00,00,23
0x0C,0C,83,24
0x0D,00,00,24
0x11,36,00,16
0x0F,47,00,16
0x04,40,00,16
0x10,04,D3,8
0x42,36,8C,8
0x05,6F,00,4
0x23,10,97,4
0x1F,00,34,2
0x0C,0C,76,25
0x0D,00,00,25
0x11,36,00,17
0x0F,47,00,17
0x04,44,00,17
0x0C,0C,63,26
0x0D,00,00,26
0x0C,0C,38,27
0x0D,00,00,27
0x11,55,00,18
0x0F,47,00,18
0x04,44,00,18
0x10,05,78,9
0x42,35,8E,9
0x0C,0C,9F,28
0x0D,00,00,28
0x11,46,00,19
0x0F,47,00,19
0x04,40,00,19
0x0C,0C,80,29
0x0D,00,00,29
0x0C,0C,99,30
0x0D,00,00,30
0x11,41,00,20
0x0F,47,00,20
0x04,46,00,20
0x10,05,94,10
0x42,37,15,10
0x05,6F,00,5
0x23,10,F3,5
0x0C,0C,AB,31
0x0D,00,00,31
0x11,3A,00,21
0x0F,47,00,21
0x04,41,00,21
0x0C,0C,A5,32
0x0D,00,00,32
0x0C,0C,B2,33
0x0D,00,00,33
0x11,39,00,22
0x0F,47,00,22
0x04,3E,00,22
0x10,05,20,11
0x42,37,29,11
0x0C,0C,A2,34
0x0D,00,00,34
0x11,35,00,23
0x0F,47,00,23
0x04,38,00,23
0x0C,0C,A5,35
0x0D,00,00,35
0x0C,0C,89,36
0x0D,00,00,36
0x11,34,00,24
0x0F,47,00,24
0x04,3B,00,24
0x10,04,9D,12
0x42,37,50,12
0x05,6F,00,6
0x23,10,3C,6
0x1F,00,38,3
0x0C,0C,47,37
0x0D,00,00,37
0x11,3D,00,25
0x0F,47,00,25
0x04,45,00,25
0x0C,0C,73,38
0x0D,00,00,38
0x0C,0C,6D,39
0x0D,00,00,39
0x11,3B,00,26
0x0F,47,00,26
0x04,48,00,26
0x10,05,76,13
0x42,36,B3,13
0x0C,0C,6A,40
0x0D,00,00,40
0x11,39,00,27
0x0F,47,00,27
0x04,46,00,27
0x0C,0C,5D,41
0x0D,00,00,41
0x0C,0C,60,42
0x0D,00,00,42
0x11,40,00,28
0x0F,47,00,28
0x04,4A,00,28
0x10,05,3F,14
0x42,37,9E,14
0x05,6F,00,7
0x23,12,06,7
0x0C,0C,76,43
0x0D,00,00,43
0x11,3D,00,29
0x0F,47,00,29
0x04,46,00,29
0x0C,0C,70,44
0x0D,00,00,44
0x0C,0C,76,45
0x0D,00,00,45
0x11,3D,00,30
0x0F,47,00,30
0x04,46,00,30
0x10,05,3F,15
0x42,36,8C,15
0x0C,0C,A8,46
0x0D,00,00,46
0x11,34,00,31
0x0F,47,00,31
0x04,3D,00,31
0x0C,0C,86,47
0x0D,00,00,47
0x0C,0C,89,48
0x0D,00,00,48
0x11,37,00,32
0x0F,47,00,32
0x04,3D,00,32
0x10,04,CC,16
0x42,36,65,16
0x05,6F,00,8
0x23,0F,C2,8
0x1F,00,3C,4
0x0C,0C,80,49
0x0D,00,00,49
0x11,39,00,33
0x0F,47,00,33
0x04,41,00,33
0x0C,0C,89,50
0x0D,00,00,50
0x0C,0C,8F,51
0x0D,00,00,51
0x11,36,00,34
0x0F,47,00,34
0x04,41,00,34
0x10,04,EB,17
0x42,37,29,17
0x0C,0C,8C,52
0x0D,00,00,52
0x11,36,00,35
0x0F,47,00,35
0x04,41,00,35
0x0C,0C,92,53
0x0D,00,00,53
0x0C,0C,B5,54
0x0D,00,00,54
0x11,34,00,36
0x0F,47,00,36
0x04,3B,00,36
0x10,04,95,18
0x42,37,63,18
0x05,6F,00,9
0x23,10,97,9
0x0C,0C,99,55
0x0D,00,00,55
0x11,34,00,37
0x0F,47,00,37
0x04,40,00,37
0x0C,0C,86,56
0x0D,00,00,56
0x0C,0C,8F,57
0x0D,00,00,57
0x11,34,00,38
0x0F,47,00,38
0x04,40,00,38
0x10,04,90,19
0x42,37,77,19
0x0C,0C,8C,58
0x0D,00,00,58
0x11,34,00,39
0x0F,47,00,39
0x04,3F,00,39
0x0C,0C,89,59
0x0D,03,00,59
0x0C,0D,09,60
0x0D,03,00,60
0x11,3F,00,40
0x0F,47,00,40
0x04,4C,00,40
0x10,05,E6,20
0x42,37,02,20
0x05,6F,00,10
0x23,0F,C2,10
0x1F,00,40,5
0x0C,0D,2F,61
0x0D,00,00,61
0x11,36,00,41
0x0F,47,00,41
0x04,47,00,41
0x0C,0C,89,62
0x0D,00,00,62
0x0C,0C,6A,63
0x0D,03,00,63
0x11,37,00,42
0x0F,47,00,42
0x04,40,00,42
0x10,04,C2,21
0x42,37,02,21
0x0C,0C,AB,64
0x0D,03,00,64
0x11,48,00,43
0x0F,47,00,43
0x04,40,00,43
0x0C,0D,6D,65
0x0D,00,00,65
0x0C,0C,C7,66
0x0D,00,00,66
0x11,3A,00,44
0x0F,47,00,44
0x04,31,00,44
0x10,05,23,22
0x42,36,8C,22
0x05,6F,00,11
0x23,10,1D,11
0x0C,0C,73,67
0x0D,00,00,67
0x11,33,00,45
0x0F,47,00,45
0x04,41,00,45
0x0C,0C,99,68
0x0D,03,00,68
0x0C,0D,A2,69
0x0D,03,00,69
0x11,35,00,46
0x0F,47,00,46
0x04,32,00,46
0x10,04,CC,23
0x42,37,15,23
0x0C,0D,A2,70
0x0D,03,00,70
0x11,37,00,47
0x0F,47,00,47
0x04,2F,00,47
0x0C,0D,8F,71
0x0D,03,00,71
0x0C,0D,67,72
0x0D,03,00,72
0x11,36,00,48
0x0F,47,00,48
0x04,31,00,48
0x10,05,04,24
0x42,37,3C,24
0x05,6F,00,12
0x23,10,79,12
0x1F,00,43,6
0x0C,0D,09,73
0x0D,03,00,73
0x11,3D,00,49
0x0F,47,00,49
0x04,3D,00,49
0x0C,0E,00,74
0x0D,03,00,74
0x0C,0D,B2,75
0x0D,03,00,75
0x11,36,00,50
0x0F,47,00,50
0x04,2A,00,50
0x10,05,49,25
0x42,37,02,25
0x0C,0D,8C,76
0x0D,03,00,76
0x11,36,00,51
0x0F,48,00,51
0x04,2C,00,51
0x0C,0D,7A,77
0x0D,03,00,77
0x0C,0D,5A,78
0x0D,00,00,78
0x11,36,00,52
0x0F,47,00,52
0x04,39,00,52
0x10,05,09,26
0x42,35,40,26
0x05,6F,00,13
0x23,10,1D,13
0x0C,0C,1C,79
0x0D,00,00,79
0x11,6B,00,53
0x0F,47,00,53
0x04,4C,00,53
0x0C,0C,F0,80
0x0D,00,00,80
0x0C,0C,F3,81
0x0D,00,00,81
0x11,6C,00,54
0x0F,47,00,54
0x04,55,00,54
0x10,05,F5,27
0x42,35,DD,27
0x0C,0C,DD,82
0x0D,00,00,82
0x11,77,00,55
0x0F,47,00,55
0x04,59,00,55
0x0C,0C,AB,83
0x0D,00,00,83
0x0C,0C,C4,84
0x0D,00,00,84
0x11,7F,00,56
0x0F,47,00,56
0x04,5B,00,56
0x10,05,CC,28
0x42,37,63,28
0x05,70,00,14
0x23,13,74,14
0x1F,00,47,7
0x0C,0D,32,85
0x0D,05,00,85
0x11,76,00,57
0x0F,47,00,57
0x04,51,00,57
0x0C,0E,6D,86
0x0D,06,00,86
0x0C,0E,CE,87
0x0D,06,00,87
0x11,57,00,58
0x0F,47,00,58
0x04,3B,00,58
0x10,06,E4,29
0x42,36,A0,29
0x0C,0E,F7,88
0x0D,06,00,88
0x11,4B,00,59
0x0F,47,00,59
0x04,38,00,59
0x0C,0F,0D,89
0x0D,08,00,89
0x0C,0F,BC,90
0x0D,07,00,90
0x11,59,00,60
0x0F,47,00,60
0x04,49,00,60
0x10,07,86,30
0x42,36,C7,30
0x05,70,00,15
0x23,16,8D,15
0x0C,10,00,91
0x0D,07,00,91
0x11,4A,00,61
0x0F,47,00,61
0x04,37,00,61
0x0C,10,68,92
0x0D,08,00,92
0x0C,10,BC,93
0x0D,07,00,93
0x11,3F,00,62
0x0F,47,00,62
0x04,3D,00,62
0x10,07,2D,31
0x42,36,A0,31
0x0C,11,52,94
0x0D,07,00,94
0x11,4F,00,63
0x0F,47,00,63
0x04,4A,00,63
0x0C,12,11,95
0x0D,08,00,95
0x0C,13,4F,96
0x0D,09,00,96
0x11,49,00,64
0x0F,47,00,64
0x04,43,00,64
0x10,09,05,32
0x42,37,02,32
0x05,70,00,16
0x23,19,A7,16
0x1F,00,4B,8
0x0C,14,11,97
0x0D,09,00,97
0x11,42,00,65
0x0F,47,00,65
0x04,40,00,65
0x0C,15,37,98
0x0D,09,00,98
0x0C,16,72,99
0x0D,0B,00,99
0x11,43,00,66
0x0F,47,00,66
0x04,3E,00,66
0x10,0A,5A,33
0x42,36,B3,33
0x0C,17,85,100
0x0D,0C,00,100
0x11,43,00,67
0x0F,47,00,67
0x04,39,00,67
0x0C,18,BE,101
0x0D,0C,00,101
0x0C,1A,09,102
0x0D,0C,00,102
0x11,45,00,68
0x0F,47,00,68
0x04,43,00,68
0x10,0C,52,34
0x42,37,15,34
0x05,70,00,17
0x23,20,16,17
0x0C,1B,B8,103
0x0D,0C,00,103
0x11,6E,00,69
0x0F,47,00,69
0x04,52,00,69
0x0C,1D,A0,104
0x0D,0C,00,104
0x0C,1D,D2,105
0x0D,0C,00,105
0x11,55,00,70
0x0F,47,00,70
0x04,1C,00,70
0x10,11,4C,35
0x42,36,B3,35
0x0C,1B,9F,106
0x0D,10,00,106
0x11,4A,00,71
0x0F,47,00,71
0x04,00,00,71
0x0C,15,66,107
0x0D,10,00,107
0x0C,0D,38,108
0x0D,10,00,108
0x11,3C,00,72
0x0F,47,00,72
0x04,24,00,72
0x10,05,C9,36
0x42,36,79,36
0x05,70,00,18
0x23,0E,90,18
0x1F,00,4F,9
0x0C,0E,2F,109
0x0D,0F,00,109
0x11,4B,00,73
0x0F,47,00,73
0x04,38,00,73
0x0C,0E,1F,110
0x0D,0D,00,110
0x0C,0E,00,111
0x0D,0D,00,111
0x11,42,00,74
0x0F,47,00,74
0x04,35,00,74
0x10,06,38,37
0x42,36,52,37
0x0C,0D,D1,112
0x0D,0E,00,112
0x11,38,00,75
0x0F,47,00,75
0x04,31,00,75
0x0C,0D,B5,113
0x0D,0F,00,113
0x0C,0D,9F,114
0x0D,0D,00,114
0x11,37,00,76
0x0F,47,00,76
0x04,35,00,76
0x10,05,66,38
0x42,37,02,38
0x05,70,00,19
0x23,11,4E,19
0x0C,0D,BE,115
0x0D,0D,00,115
0x11,36,00,77
0x0F,46,00,77
0x04,32,00,77
0x0C,0D,A8,116
0x0D,0E,00,116
0x0C,0D,A8,117
0x0D,0D,00,117
0x11,36,00,78
0x0F,46,00,78
0x04,36,00,78
0x10,05,33,39
0x42,36,2B,39
0x0C,0D,B8,118
0x0D,0D,00,118
0x11,36,00,79
0x0F,46,00,79
0x04,37,00,79
0x0C,0D,A8,119
0x0D,0C,00,119
0x0C,0D,CB,120
0x0D,0A,00,120
0x11,36,00,80
0x0F,46,00,80
0x04,36,00,80
0x10,05,37,40
0x42,36,8C,40
0x05,71,00,20
0x23,11,8C,20
0x1F,00,53,10
0x0C,0D,B5,121
0x0D,07,00,121
0x11,36,00,81
0x0F,46,00,81
0x04,36,00,81
0x0C,0D,BE,122
0x0D,07,00,122
0x0C,0D,B2,123
0x0D,04,00,123
0x11,37,00,82
0x0F,46,00,82
0x04,37,00,82
0x10,05,4D,41
0x42,37,15,41
0x0C,0D,BE,124
0x0D,03,00,124
0x11,36,00,83
0x0F,46,00,83
0x04,31,00,83
0x0C,0D,B5,125
0x0D,03,00,125
0x0C,0D,CE,126
0x0D,03,00,126
0x11,36,00,84
0x0F,46,00,84
0x04,29,00,84
0x10,05,31,42
0x42,36,8C,42
0x05,71,00,21
0x23,11,AA,21
0x0C,0D,BB,127
0x0D,03,00,127
0x11,36,00,85
0x0F,46,00,85
0x04,29,00,85
0x0C,0D,C8,128
0x0D,00,00,128
0x0C,0D,67,129
0x0D,00,00,129
0x11,36,00,86
0x0F,46,00,86
0x04,13,00,86
0x10,05,02,43
0x42,36,79,43
0x0C,0C,A8,130
0x0D,00,00,130
0x11,33,00,87
0x0F,46,00,87
0x04,2D,00,87
0x0C,0C,51,131
0x0D,00,00,131
0x0C,0C,7C,132
0x0D,00,00,132
0x11,34,00,88
0x0F,46,00,88
0x04,2C,00,88
0x10,04,88,44
0x42,36,8C,44
0x05,71,00,22
0x23,10,D4,22
0x1F,00,57,11
0x0C,0C,79,133
0x0D,00,00,133
0x11,34,00,89
0x0F,46,00,89
0x04,3E,00,89
0x0C,0C,5A,134
0x0D,00,00,134
0x0C,0C,80,135
0x0D,00,00,135
0x11,34,00,90
0x0F,46,00,90
0x04,39,00,90
0x10,04,A3,45
0x42,36,A0,45
0x0C,0C,79,136
0x0D,00,00,136
0x11,34,00,91
0x0F,46,00,91
0x04,3B,00,91
0x0C,0C,73,137
0x0D,00,00,137
0x0C,0C,6D,138
0x0D,00,00,138
0x11,34,00,92
0x0F,45,00,92
0x04,3E,00,92
0x10,04,8C,46
0x42,36,65,46
0x05,71,00,23
0x23,0F,47,23
0x0C,0C,76,139
0x0D,00,00,139
0x11,34,00,93
0x0F,45,00,93
0x04,43,00,93
0x0C,0C,5A,140
0x0D,00,00,140
0x0C,0C,70,141
0x0D,00,00,141
0x11,39,00,94
0x0F,45,00,94
0x04,40,00,94
0x10,04,F6,47
0x42,37,3C,47
0x0C,0C,83,142
0x0D,00,00,142
0x11,37,00,95
0x0F,45,00,95
0x04,48,00,95
0x0C,0C,67,143
0x0D,00,00,143
0x0C,0C,83,144
0x0D,00,00,144
0x11,33,00,96
0x0F,45,00,96
0x04,47,00,96
0x10,04,6C,48
0x42,36,A0,48
0x05,71,00,24
0x23,0F,C2,24
0x1F,00,5B,12
0x0C,0C,70,145
0x0D,00,00,145
0x11,36,00,97
0x0F,45,00,97
0x04,43,00,97
0x0C,0B,F0,146
0x0D,00,00,146
0x0C,0D,7A,147
0x0D,00,00,147
0x11,80,00,98
0x0F,45,00,98
0x04,4B,00,98
0x10,06,39,49
0x42,37,50,49
0x0C,0D,C5,148
0x0D,00,00,148
0x11,6C,00,99
0x0F,45,00,99
0x04,57,00,99
0x0C,0E,1C,149
0x0D,00,00,149
0x0C,0E,7A,150
0x0D,00,00,150
0x11,75,00,100
0x0F,45,00,100
0x04,5E,00,100
0x10,06,C9,50
0x42,37,3C,50
0x05,71,00,25
0x23,14,0C,25
0x0C,10,93,151
0x0D,05,00,151
0x11,80,00,101
0x0F,46,00,101
0x04,57,00,101
0x0C,12,D5,152
0x0D,05,00,152
0x0C,15,1B,153
0x0D,08,00,153
0x11,6F,00,102
0x0F,46,00,102
0x04,50,00,102
0x10,0A,6C,51
0x42,36,65,51
0x0C,16,B1,154
0x0D,0B,00,154
0x11,5D,00,103
0x0F,46,00,103
0x04,40,00,103
0x0C,18,BE,155
0x0D,0C,00,155
0x0C,18,09,156
0x0D,0C,00,156
0x11,50,00,104
0x0F,46,00,104
0x04,02,00,104
0x10,0B,FC,52
0x42,36,B3,52
0x05,71,00,26
0x23,15,1F,26
0x1F,00,5F,13
0x0C,13,84,157
0x0D,0C,00,157
0x11,44,00,105
0x0F,46,00,105
0x04,00,00,105
0x0C,0D,FD,158
0x0D,0C,00,158
