PID,Data0,Data1,Seq
0x0C,0C,7C,0
0x0D,00,00,0
0x11,34,00,0
0x0F,3F,00,0
0x04,37,00,0
0x10,04,97,0
0x42,36,C7,0
0x05,56,00,0
0x23,0F,E0,0
0x1F,00,AC,0
0x0C,0C,67,1
0x0D,00,00,1
0x11,34,00,1
0x0F,3F,00,1
0x04,39,00,1
0x0C,0C,80,2
0x0D,00,00,2
0x0C,0C,7C,3
0x0D,00,00,3
0x11,34,00,2
0x0F,3F,00,2
0x04,36,00,2
0x10,04,A1,1
0x42,37,02,1
0x0C,0C,89,4
0x0D,00,00,4
0x11,34,00,3
0x0F,3F,00,3
0x04,35,00,3
0x0C,0C,89,5
0x0D,00,00,5
0x0C,0C,7C,6
0x0D,00,00,6
0x11,34,00,4
0x0F,3F,00,4
0x04,37,00,4
0x10,04,A6,2
0x42,37,3C,2
0x05,56,00,1
0x23,10,1D,1
0x0C,0C,83,7
0x0D,00,00,7
0x11,34,00,5
0x0F,3F,00,5
0x04,34,00,5
0x0C,0C,76,8
0x0D,00,00,8
0x0C,0C,70,9
0x0D,00,00,9
0x11,34,00,6
0x0F,3F,00,6
0x04,39,00,6
0x10,04,A0,3
0x42,36,B3,3
0x0C,0C,7C,10
0x0D,00,00,10
0x11,34,00,7
0x0F,3F,00,7
0x04,38,00,7
0x0C,0C,7C,11
0x0D,00,00,11
0x0C,0C,8F,12
0x0D,00,00,12
0x11,34,00,8
0x0F,3F,00,8
0x04,37,00,8
0x10,04,92,4
0x42,37,50,4
0x05,56,00,2
0x23,10,1D,2
0x1F,00,B0,1
0x0C,0C,8F,13
0x0D,00,00,13
0x11,34,00,9
0x0F,3F,00,9
0x04,36,00,9
0x0C,0C,80,14
0x0D,00,00,14
0x0C,0C,89,15
0x0D,00,00,15
0x11,34,00,10
0x0F,3F,00,10
0x04,35,00,10
0x10,04,C5,5
0x42,37,8A,5
0x0C,0C,76,16
0x0D,00,00,16
0x11,34,00,11
0x0F,3F,00,11
0x04,36,00,11
0x0C,0C,86,17
0x0D,00,00,17
0x0C,0C,73,18
0x0D,00,00,18
0x11,34,00,12
0x0F,3F,00,12
0x04,38,00,12
0x10,04,A6,6
0x42,37,02,6
0x05,56,00,3
0x23,0E,AF,3
0x0C,0C,80,19
0x0D,00,00,19
0x11,34,00,13
0x0F,3F,00,13
0x04,36,00,13
0x0C,0C,83,20
0x0D,00,00,20
0x0C,0C,80,21
0x0D,00,00,21
0x11,34,00,14
0x0F,3F,00,14
0x04,36,00,14
0x10,04,9A,7
0x42,36,C7,7
0x0C,0C,7C,22
0x0D,00,00,22
0x11,34,00,15
0x0F,3F,00,15
0x04,39,00,15
0x0C,0C,7C,23
0x0D,00,00,23
0x0C,0C,73,24
0x0D,00,00,24
0x11,34,00,16
0x0F,3F,00,16
0x04,37,00,16
0x10,04,B1,8
0x42,36,52,8
0x05,56,00,4
0x23,0F,C2,4
0x1F,00,B4,2
0x0C,0C,A5,25
0x0D,00,00,25
0x11,35,00,17
0x0F,3F,00,17
0x04,3A,00,17
0x0C,0C,9C,26
0x0D,00,00,26
0x0C,0C,80,27
0x0D,00,00,27
0x11,34,00,18
0x0F,3F,00,18
0x04,45,00,18
0x10,04,8A,9
0x42,37,50,9
0x0C,0C,79,28
0x0D,00,00,28
0x11,34,00,19
0x0F,3F,00,19
0x04,46,00,19
0x0C,0C,79,29
0x0D,00,00,29
0x0C,0C,7C,30
0x0D,00,00,30
0x11,34,00,20
0x0F,3F,00,20
0x04,44,00,20
0x10,04,A6,10
0x42,36,52,10
0x05,56,00,5
0x23,0F,A3,5
0x0C,0C,83,31
0x0D,00,00,31
0x11,35,00,21
0x0F,3F,00,21
0x04,43,00,21
0x0C,0C,89,32
0x0D,00,00,32
0x0C,0C,86,33
0x0D,00,00,33
0x11,35,00,22
0x0F,3F,00,22
0x04,44,00,22
0x10,04,B1,11
0x42,37,3C,11
0x0C,0C,83,34
0x0D,00,00,34
0x11,35,00,23
0x0F,3F,00,23
0x04,45,00,23
0x0C,0C,80,35
0x0D,00,00,35
0x0C,0C,83,36
0x0D,00,00,36
0x11,35,00,24
0x0F,3F,00,24
0x04,45,00,24
0x10,04,AE,12
0x42,37,8A,12
0x05,56,00,6
0x23,11,11,6
0x1F,00,B8,3
0x0C,0C,80,37
0x0D,00,00,37
0x11,34,00,25
0x0F,3F,00,25
0x04,37,00,25
0x0C,0C,8F,38
0x0D,00,00,38
0x0C,0C,92,39
0x0D,00,00,39
0x11,34,00,26
0x0F,3F,00,26
0x04,36,00,26
0x10,04,A0,13
0x42,36,EE,13
0x0C,0C,95,40
0x0D,00,00,40
0x11,34,00,27
0x0F,3F,00,27
0x04,37,00,27
0x0C,0C,83,41
0x0D,00,00,41
0x0C,0C,8C,42
0x0D,00,00,42
0x11,34,00,28
0x0F,3F,00,28
0x04,36,00,28
0x10,04,A1,14
0x42,36,79,14
0x05,56,00,7
0x23,0F,85,7
0x0C,0C,80,43
0x0D,00,00,43
0x11,34,00,29
0x0F,3F,00,29
0x04,37,00,29
0x0C,0C,76,44
0x0D,00,00,44
0x0C,0C,8C,45
0x0D,00,00,45
0x11,34,00,30
0x0F,3F,00,30
0x04,35,00,30
0x10,04,9A,15
0x42,37,50,15
0x0C,0C,7C,46
0x0D,00,00,46
0x11,34,00,31
0x0F,3F,00,31
0x04,38,00,31
0x0C,0C,76,47
0x0D,00,00,47
0x0C,0C,79,48
0x0D,00,00,48
0x11,34,00,32
0x0F,3F,00,32
0x04,37,00,32
0x10,04,A5,16
0x42,36,DA,16
0x05,56,00,8
0x23,0E,EC,8
0x1F,00,BC,4
0x0C,0C,79,49
0x0D,00,00,49
0x11,34,00,33
0x0F,3F,00,33
0x04,37,00,33
0x0C,0C,76,50
0x0D,00,00,50
0x0C,0C,83,51
0x0D,00,00,51
0x11,34,00,34
0x0F,3F,00,34
0x04,34,00,34
0x10,04,9E,17
0x42,36,DA,17
0x0C,0C,80,52
0x0D,00,00,52
0x11,34,00,35
0x0F,3F,00,35
0x04,36,00,35
0x0C,0C,80,53
0x0D,00,00,53
0x0C,0C,7C,54
0x0D,00,00,54
0x11,34,00,36
0x0F,3F,00,36
0x04,38,00,36
0x10,04,9D,18
0x42,37,B1,18
0x05,57,00,9
0x23,10,D4,9
0x0C,0C,76,55
0x0D,00,00,55
0x11,34,00,37
0x0F,3F,00,37
0x04,36,00,37
0x0C,0C,80,56
0x0D,00,00,56
0x0C,0C,76,57
0x0D,00,00,57
0x11,34,00,38
0x0F,3F,00,38
0x04,38,00,38
0x10,04,A5,19
0x42,37,15,19
0x0C,0C,79,58
0x0D,00,00,58
0x11,34,00,39
0x0F,3F,00,39
0x04,37,00,39
0x0C,0C,79,59
0x0D,00,00,59
0x0C,0C,83,60
0x0D,00,00,60
0x11,34,00,40
0x0F,3F,00,40
0x04,38,00,40
0x10,04,A5,20
0x42,36,B3,20
0x05,57,00,10
0x23,0F,47,10
0x1F,00,C0,5
0x0C,0C,80,61
0x0D,00,00,61
0x11,34,00,41
0x0F,3F,00,41
0x04,38,00,41
0x0C,0C,80,62
0x0D,00,00,62
0x0C,0C,79,63
0x0D,00,00,63
0x11,34,00,42
0x0F,3F,00,42
0x04,39,00,42
0x10,04,8C,21
0x42,37,8A,21
0x0C,0C,80,64
0x0D,00,00,64
0x11,34,00,43
0x0F,3F,00,43
0x04,38,00,43
0x0C,0C,86,65
0x0D,00,00,65
0x0C,0C,80,66
0x0D,00,00,66
0x11,34,00,44
0x0F,3F,00,44
0x04,36,00,44
0x10,04,A9,22
0x42,37,02,22
0x05,57,00,11
0x23,0F,66,11
0x0C,0C,86,67
0x0D,00,00,67
0x11,34,00,45
0x0F,3F,00,45
0x04,35,00,45
0x0C,0C,76,68
0x0D,00,00,68
0x0C,0C,B5,69
0x0D,00,00,69
0x11,36,00,46
0x0F,3F,00,46
0x04,3D,00,46
0x10,04,E6,23
0x42,36,2B,23
0x0C,0C,A5,70
0x0D,00,00,70
0x11,34,00,47
0x0F,3F,00,47
0x04,41,00,47
0x0C,0C,8C,71
0x0D,00,00,71
0x0C,0C,7C,72
0x0D,00,00,72
0x11,34,00,48
0x0F,3F,00,48
0x04,44,00,48
0x10,04,6B,24
0x42,36,C7,24
0x05,57,00,12
0x23,10,79,12
0x1F,00,C3,6
0x0C,0C,70,73
0x0D,00,00,73
0x11,35,00,49
0x0F,3F,00,49
0x04,46,00,49
0x0C,0C,79,74
0x0D,00,00,74
0x0C,0C,83,75
0x0D,00,00,75
0x11,35,00,50
0x0F,3F,00,50
0x04,42,00,50
0x10,04,C2,25
0x42,37,77,25
0x0C,0C,79,76
0x0D,00,00,76
0x11,35,00,51
0x0F,3F,00,51
0x04,44,00,51
0x0C,0C,83,77
0x0D,00,00,77
0x0C,0C,80,78
0x0D,00,00,78
0x11,35,00,52
0x0F,3F,00,52
0x04,46,00,52
0x10,04,BF,26
0x42,36,C7,26
0x05,57,00,13
0x23,0F,A3,13
0x0C,0C,8F,79
0x0D,00,00,79
0x11,34,00,53
0x0F,3F,00,53
0x04,45,00,53
0x0C,0C,8F,80
0x0D,00,00,80
0x0C,0C,99,81
0x0D,00,00,81
0x11,34,00,54
0x0F,3F,00,54
0x04,37,00,54
0x10,04,97,27
0x42,36,DA,27
0x0C,0C,A2,82
0x0D,00,00,82
0x11,34,00,55
0x0F,3F,00,55
0x04,34,00,55
0x0C,0C,89,83
0x0D,00,00,83
0x0C,0C,92,84
0x0D,00,00,84
0x11,34,00,56
0x0F,3F,00,56
0x04,30,00,56
0x10,04,BC,28
0x42,37,29,28
0x05,57,00,14
0x23,0F,0A,14
0x1F,00,C7,7
